model,accuracy,f1,precision,recall,recall_class0,recall_class1,recall_class2,recall_class3
LogisticRegression,0.5718686885118716,0.6157000897596242,0.713325096737906,0.5718686885118716,0.6397170978523812,0.6349351216221578,0.23686772613573387,0.6419795515078615
DecisionTreeClassifier,0.6180985011349729,0.6614538061010318,0.7506641688797041,0.618098501134973,0.6586634166158847,0.7346533867703663,0.36349475008612553,0.6301228627888994
RandomForestClassifier,0.6415988227314932,0.6816854378571162,0.7497054912810046,0.6415988227314932,0.7268073790925711,0.6376731082099917,0.28875275227296554,0.7003178967265229
MultilayerPerceptron,0.6746719590358612,0.5486575259861917,0.5069704106569858,0.6746719590358611,0.9940649640832456,0.004364906154517678,0.0029956712550364725,0.0
NaiveBayes,0.47743693830101935,0.49966083380546,0.5953542770288961,0.4774369383010193,0.5370893579303085,0.1619578588151264,0.5569102646675553,0.0
