feature,importance
primary_type_group_idx,0.37669451842669577
crime_group_idx,0.3702337951650394
location_group_idx,0.21132634725767335
lat_grid,0.008382633203324564
community_area,0.0077041199089395085
beat_num,0.006368036570320941
is_night,0.00536250012245438
hour,0.005052003020948468
district_num,0.004578192150382353
lon_grid_abs,0.003974308365609333
is_weekend,0.00011290923003920008
month,0.0001088026335954769
day_of_week,0.00010183394497725988
