model,accuracy,f1,precision,recall,auc_roc,recall_arrested
LogisticRegression,0.7213200091097246,0.7550515283019896,0.827328499266002,0.7213200091097246,0.7931662898246308,0.6698920788764725
DecisionTreeClassifier,0.7915049315143916,0.8129123437852545,0.8585682476040783,0.7915049315143916,0.582111894941104,0.7364142130684989
RandomForestClassifier,0.7843247666884399,0.8070703160007509,0.855889802636018,0.7843247666884399,0.8542915165563633,0.7331303502255663
GBTClassifier,0.8948252259286789,0.8793514361292956,0.8896280159291706,0.8948252259286789,0.8592039771391173,0.4116943775804626
NaiveBayes,0.5765729916686062,0.6342379049183331,0.7751251920736847,0.5765729916686062,0.45018915280281946,0.5848623487589868
