model,rmse,mae,r2
LinearRegression,2.2674945796751946,1.4762488146813735,0.03931912918555658
DecisionTreeRegressor,1.7701033024211958,1.1918844332919554,0.41455803129729285
RandomForestRegressor,1.7999651948441737,1.229504279942244,0.39463843633891427
GBTRegressor,1.7233364391009742,1.1738309556641002,0.44508460957038576
GeneralizedLinearRegression,2.2900693785515434,1.5010062432693432,0.02009514990550132
